date,open,high,low,close,volume
2016-04-22,110.3441,110.8799,108.1612,109.6991,38458200
2016-04-25,109.0145,109.8083,108.2207,109.2427,21017900
2016-04-26,109.6297,109.6396,107.3079,107.9132,22521500
2016-04-27,107.0995,108.0918,105.4822,108.0421,52213100
2016-04-28,118.6489,119.8495,115.325,115.8211,87110100
2016-04-29,115.9104,116.9225,114.938,116.6645,37140600
2016-05-02,116.9125,117.8055,115.6623,117.6468,28095200
2016-05-03,116.6049,117.24,116.1088,116.5156,24117500
2016-05-04,115.702,117.3789,115.6623,117.1407,23448400
2016-05-05,117.1209,118.0536,116.337,116.8927,22056700
2016-05-06,116.2477,118.7084,116.1981,118.5596,26395600
2016-05-09,118.6092,119.3435,117.9742,118.3116,21138100
2016-05-10,118.6886,119.5617,118.0734,119.5617,23220000
2016-05-11,119.4724,120.1372,118.4902,118.5894,22038400
2016-05-12,119.0458,119.8991,117.9742,119.3435,22035500
2016-05-13,119.4427,119.7007,118.7481,118.8771,18124300
2016-05-16,118.4505,118.6787,116.4363,117.746,31247800
2016-05-17,117.8948,118.0833,116.2874,116.4363,21328600
2016-05-18,115.8906,117.3491,115.8211,116.7339,21642300
2016-05-19,116.1386,116.5752,114.9777,115.9005,20544100
2016-05-20,116.0493,117.0713,116.0394,116.4363,18944800
2016-05-23,116.5057,116.6843,115.0372,115.067,20441000
2016-05-24,115.3349,116.8133,115.2158,116.7835,20183600
2016-05-25,117.2102,117.746,116.466,116.9721,20019800
2016-05-26,117.3193,118.8275,117.0018,118.5398,18481300
2016-05-27,118.629,118.9168,118.0833,118.4504,13493600
2016-05-31,118.5298,119.1649,117.2003,117.8849,23547600
2016-06-01,117.5773,118.1528,116.9026,117.8551,15029500
2016-06-02,117.7658,118.51,117.2995,118.004,13228300
2016-06-03,118.0536,118.0536,116.9423,117.5475,14135100
2016-06-06,117.6964,118.5001,117.4384,117.8651,12744700
2016-06-07,118.3116,118.3711,116.7538,116.8431,17103000
2016-06-08,116.8431,117.6765,116.3569,117.4682,14505600
2016-06-09,117.2102,117.7559,116.7935,117.6368,13859200
2016-06-10,116.6248,117.1904,115.3548,115.712,18510800
2016-06-13,114.1046,114.5808,112.4277,113.0627,31718200
2016-06-14,113.1818,114.055,112.6956,114.0451,17618500
2016-06-15,114.4022,114.5412,113.1818,113.7077,19819400
2016-06-16,112.9834,113.6085,112.0606,113.4993,19236300
2016-06-17,113.5291,113.539,111.6836,112.14,24644300
2016-06-20,112.8842,113.8268,111.8721,112.4873,20785400
2016-06-21,113.2314,114.3129,113.0826,113.4894,19166300
2016-06-22,113.7573,113.8466,112.7254,113.0231,14846300
2016-06-23,113.4795,114.1939,112.6559,114.184,16176900
2016-06-24,110.1456,112.7948,110.1357,111.2073,40643100
2016-06-27,110.7013,110.7013,107.3873,108.1215,36130400
2016-06-28,109.7686,111.8721,109.6892,111.8225,26813800
2016-06-29,112.4873,113.3604,112.1598,113.2711,20968300
2016-06-30,113.7771,114.2832,112.7849,113.3902,23192700
2016-07-01,113.3108,114.2336,112.9238,113.3009,14980000
