date,open,high,low,close,volume
2016-04-18,88.606,90.4036,87.9991,89.62,2656300
2016-04-19,89.4664,91.2179,89.3819,90.4574,2515900
2016-04-20,90.4574,90.6648,89.2052,89.5816,1688900
2016-04-21,88.6214,89.6047,88.0452,88.4523,1744800
2016-04-22,88.0913,89.5816,88.0452,89.1975,2773500
2016-04-25,89.0055,89.113,87.7072,88.2757,1544300
2016-04-26,88.8826,89.4895,88.4601,89.2513,2273200
2016-04-27,89.5432,89.9197,88.8288,89.6662,3115200
2016-04-28,89.5125,91.0105,88.9901,89.5816,1822000
2016-04-29,89.8966,91.1411,88.9517,89.9043,1784000
2016-05-02,90.1808,90.5572,88.8518,89.5202,2519200
2016-05-03,88.5522,92.1859,87.8685,91.1104,3673000
2016-05-04,91.0643,91.072,86.7623,87.9146,3751300
2016-05-05,88.268,88.5983,87.2386,87.4921,1253400
2016-05-06,86.9544,88.3909,86.7008,88.3371,1137800
2016-05-09,87.6304,87.6304,85.8635,86.3628,1943900
2016-05-10,86.7623,88.3064,86.3014,88.1758,2223400
2016-05-11,88.1835,89.0592,87.4844,88.1297,1927700
2016-05-12,88.6137,89.113,87.423,87.8762,1552400
2016-05-13,88.0299,88.5522,85.7943,85.8789,1916100
2016-05-16,86.0401,88.1988,86.0401,87.7225,1414200
2016-05-17,87.5766,89.1054,87.2386,87.7917,1471300
2016-05-18,87.1292,87.7879,85.2697,85.7501,2081000
2016-05-19,85.4866,85.8198,82.333,83.7432,2951000
2016-05-20,84.0609,84.921,83.7278,83.844,1317600
2016-05-23,83.7587,84.735,83.1621,83.8052,865300
2016-05-24,84.1229,85.2231,83.9602,85.0062,1190900
2016-05-25,85.6571,87.9041,85.3549,87.6871,2029100
2016-05-26,88.1287,88.9888,87.8343,87.9428,1756300
2016-05-27,87.8808,88.7099,87.4314,87.7413,1412200
2016-05-31,87.7491,89.353,87.5709,88.6944,1936300
2016-06-01,88.3225,88.4464,86.9355,88.4309,1398000
2016-06-02,88.2992,89.2057,87.6328,89.2057,1620000
2016-06-03,89.0508,89.0508,87.3307,88.0513,1586000
2016-06-06,88.4387,90.213,88.0745,90.1123,1459400
2016-06-07,90.2673,91.29,89.8953,90.7709,974000
2016-06-08,91.4295,92.9094,91.4295,92.1036,1837800
2016-06-09,91.1971,92.0416,90.8871,91.9254,1072100
2016-06-10,90.9569,91.0963,89.4615,89.8799,1263800
2016-06-13,89.5234,89.8179,88.059,88.1287,1594700
2016-06-14,88.1443,88.5162,86.7418,87.5166,1982500
2016-06-15,88.3612,88.5859,87.075,87.8963,1444000
2016-06-16,87.3849,88.0745,85.6571,87.8266,1250300
2016-06-17,87.935,89.2212,87.3307,88.4697,2229100
2016-06-20,89.8101,91.0963,89.6939,89.8566,1356300
2016-06-21,89.5467,89.7016,88.1907,89.384,1216600
2016-06-22,89.4924,90.1355,89.4459,89.7094,1210800
2016-06-23,90.7244,92.2043,90.3525,92.1733,1573700
2016-06-24,88.5239,89.1515,85.5796,85.6183,5459700
2016-06-27,84.9907,85.0759,81.6899,81.9379,3437700
2016-06-28,82.7514,83.9912,81.6125,82.8599,2937000
2016-06-29,83.9912,85.2154,83.3558,85.0217,1748400
2016-06-30,85.2077,87.1215,84.8125,87.1215,1338300
2016-07-01,86.7883,87.997,86.6333,87.4934,1458200
2016-07-05,86.8813,87.3927,84.8048,85.3704,1263100
2016-07-06,84.611,85.7655,83.3016,85.7035,1705000
2016-07-07,85.905,87.1525,85.4633,86.2072,937600
2016-07-08,86.982,88.9888,86.5946,88.8726,1069600
2016-07-11,88.9501,90.1433,88.0977,89.7946,1077800
2016-07-12,90.4455,92.3438,90.0891,92.1888,1615500
2016-07-13,91.662,92.8784,91.2126,91.5302,1636500
2016-07-14,92.46,93.1186,92.1269,92.5685,1636500
2016-07-15,92.8552,92.8552,91.8789,92.2121,1110200
2016-07-18,91.7162,92.2431,90.6857,91.5767,1959800
2016-07-19,90.9879,91.2668,90.12,90.244,1545500
2016-07-20,90.4842,91.5767,89.8953,91.0886,2066500
2016-07-21,91.4295,92.9637,91.0421,91.7859,1739100
2016-07-22,91.6775,91.7704,90.9956,91.5922,1058900
2016-07-25,91.4605,91.8944,90.9336,91.5767,1108700
