date,open,high,low,close,volume
2016-08-12,13.1952,13.2327,13.1377,13.2212,16530000
2016-08-15,13.2902,13.4773,13.2235,13.4566,25807000
2016-08-16,13.4006,13.4144,13.1929,13.2159,19069000
2016-08-17,13.2044,13.2833,13.1668,13.2642,16613000
2016-08-18,13.2481,13.3523,13.2343,13.3331,21120000
2016-08-19,13.3523,13.4198,13.2948,13.4098,15349000
2016-08-22,13.4152,13.5156,13.3431,13.4865,15393000
2016-08-23,13.547,13.6045,13.501,13.5945,19741000
2016-08-24,13.6122,13.6214,13.3669,13.4382,21802000
2016-08-25,13.455,13.5792,13.3914,13.4949,18735000
2016-08-26,13.5555,13.695,13.4251,13.5807,22586000
2016-08-29,13.5915,13.6973,13.5608,13.5991,16726000
2016-08-30,13.6574,13.754,13.4872,13.5685,27838000
2016-08-31,13.5761,13.6697,13.442,13.524,32753000
2016-09-01,13.5593,13.6198,13.4014,13.5754,39128000
2016-09-02,13.5685,13.5945,12.9399,13.2703,80668000
2016-09-06,13.3094,13.3385,13.0043,13.1162,36132000
2016-09-07,13.1407,13.1852,12.8563,12.9476,31437000
2016-09-08,12.9085,12.9422,12.7682,12.9077,18680000
2016-09-09,12.7505,12.8057,12.3167,12.3251,45022000
2016-09-12,12.1986,12.6294,12.1695,12.6087,35673000
2016-09-13,12.6087,12.8295,12.5949,12.667,36003000
2016-09-14,12.6662,13.0265,12.6524,13.002,40324000
2016-09-15,13.0197,13.3018,12.9328,13.2803,36322000
2016-09-16,13.2573,13.3011,13.0596,13.1665,83067000
2016-09-19,13.1904,13.3464,13.025,13.1273,28306000
2016-09-20,13.2411,13.2411,12.9305,12.9351,18722000
2016-09-21,12.9474,13.0727,12.8874,13.0581,17977000
2016-09-22,13.1458,13.1673,12.9228,12.982,20619000
2016-09-23,12.9712,12.9966,12.7259,12.8136,26875000
2016-09-26,12.6944,12.8582,12.5145,12.8167,32033000
2016-09-27,12.8321,13.1388,12.7652,13.1373,25353000
2016-09-28,13.208,13.2796,13.0543,13.125,20843000
2016-09-29,13.0712,13.378,13.032,13.2603,38570000
2016-09-30,13.3018,13.4287,13.2588,13.2649,34220000
2016-10-03,13.3026,13.3703,13.0497,13.0766,22807000
2016-10-04,13.1181,13.1404,12.9236,12.9981,19596000
2016-10-05,13.1865,13.3872,13.1235,13.3388,26149000
2016-10-06,13.3249,13.4287,13.1681,13.3933,21014000
2016-10-07,13.4464,13.4518,13.2549,13.3949,21842000
2016-10-10,13.4349,13.5248,13.3603,13.4379,16336000
2016-10-11,13.4779,13.4941,13.035,13.1611,26181000
2016-10-12,13.1288,13.1527,12.9482,13.1073,21740000
2016-10-13,12.9766,13.0635,12.8251,12.9897,22373000
2016-10-14,13.0696,13.2742,13.0204,13.0781,19570000
2016-10-17,13.0481,13.1442,12.9735,12.9851,12741000
2016-10-18,13.1212,13.2919,13.1127,13.238,14167000
2016-10-19,13.1611,13.2465,13.0796,13.215,20440000
2016-10-20,13.1988,13.4233,13.1496,13.3334,18961000
