date,open,high,low,close,volume
2016-04-21,167.979,169.2122,167.0753,168.2426,399600
2016-04-22,167.16,169.3723,167.16,168.1579,482300
2016-04-25,165.4091,170.5301,164.7689,169.1275,915200
2016-04-26,169.2499,169.5699,166.4916,168.3556,655500
2016-04-27,166.1434,169.6076,165.5597,168.7227,454500
2016-04-28,167.5366,168.977,166.0116,166.4352,510600
2016-04-29,165.5597,166.6705,164.7595,165.7668,555800
2016-05-02,165.7104,167.4142,164.9102,167.0942,581800
2016-05-03,166.2281,166.2281,163.5734,165.8703,387500
2016-05-04,164.4018,165.362,162.5567,163.4322,487700
2016-05-05,164.2983,165.5503,163.5922,164.1476,400600
2016-05-06,163.997,165.9551,163.4699,165.8139,283000
2016-05-09,165.5597,166.2469,163.9311,164.4206,343000
2016-05-10,164.8066,167.2824,164.8066,167.1036,326200
2016-05-11,166.887,167.7625,165.5973,165.6538,302200
2016-05-12,165.8986,167.0753,164.5619,166.7647,424900
2016-05-13,166.4352,167.5366,165.0043,165.9833,421900
2016-05-16,166.3128,169.1369,165.315,168.4215,543000
2016-05-17,168.0355,170.6619,167.273,169.8147,805500
2016-05-18,169.4287,171.1515,168.7415,170.5207,656000
2016-05-19,169.0804,169.9371,167.7907,169.4382,616200
2016-05-20,170.5584,172.9589,170.5584,172.3658,912400
2016-05-23,168.5062,168.7887,161.9166,162.585,2638800
2016-05-24,163.2722,167.546,163.2722,163.7711,1175900
2016-05-25,164.2983,165.8233,163.7146,163.8747,825800
2016-05-26,163.7052,164.1476,160.2503,161.6436,793600
2016-05-27,162.086,162.2649,160.5516,161.9166,1525400
2016-05-31,162.1802,162.1896,159.5914,161.0506,1501000
2016-06-01,160.1844,161.1352,159.3466,160.8528,466500
2016-06-02,160.8623,161.9072,160.2692,161.5871,469000
2016-06-03,161.3423,162.3402,160.561,161.7094,354700
2016-06-06,162.3685,164.3924,162.0861,163.5923,502900
2016-06-07,163.9782,164.656,163.4228,163.8182,362300
2016-06-08,164.0441,164.8066,162.4908,163.7429,385400
2016-06-09,163.0839,164.7407,162.6038,164.0347,325700
2016-06-10,163.5075,163.5075,161.4835,162.0484,242000
2016-06-13,162.0296,162.4626,158.9324,158.9983,429000
2016-06-14,158.4711,159.3278,157.5203,159.1301,417800
2016-06-15,159.6949,160.2503,158.3205,158.5088,303000
2016-06-16,158.0852,159.1113,156.2024,158.7347,324900
2016-06-17,158.8948,159.7232,157.0874,157.8405,573800
2016-06-20,159.8361,161.2952,159.8361,160.4668,450600
2016-06-21,160.1939,161.1823,160.1562,160.2974,398500
2016-06-22,160.7869,161.8036,159.742,159.9679,339100
2016-06-23,161.5212,162.8297,161.1823,162.7732,270300
2016-06-24,157.6333,159.309,157.5204,157.558,1083800
2016-06-27,155.8541,156.3719,154.2444,155.1104,748900
2016-06-28,156.5319,157.2003,155.1387,156.7673,417400
2016-06-29,158.4335,159.0454,157.1626,157.3509,758100
2016-06-30,157.5957,160.6081,157.5204,160.561,493600
2016-07-01,160.9282,161.8507,158.9513,159.9585,444600
2016-07-05,159.2337,159.2337,156.7955,157.1438,621000
2016-07-06,157.1155,157.5588,155.6632,157.2475,478400
2016-07-07,157.7285,158.5018,156.644,157.7474,383300
2016-07-08,159.0205,160.8595,159.0205,160.3597,399800
2016-07-11,160.388,161.4159,160.0296,160.8972,381300
2016-07-12,162.0006,162.1609,159.9447,160.8312,927900
2016-07-13,160.6615,161.5102,159.8598,160.388,1172400
