date,open,high,low,close,volume
2016-04-18,61.1428,61.4379,60.9152,61.3283,529800
2016-04-19,61.4463,61.7666,61.2524,61.6402,657200
2016-04-20,61.4547,61.5475,60.7466,61.5137,634300
2016-04-21,61.539,62.0364,60.4431,60.6876,1078000
2016-04-22,60.7382,61.1765,60.4094,60.6117,741400
2016-04-25,60.5106,60.7382,60.1818,60.3504,588300
2016-04-26,60.4263,60.9405,60.2914,60.5611,1068600
2016-04-27,60.0638,60.9489,60.0638,60.8899,1242700
2016-04-28,60.6707,60.6707,59.617,59.7013,1485700
2016-04-29,59.5243,59.5748,58.6222,58.9594,887100
2016-05-02,59.2798,59.2882,58.7909,59.069,871700
2016-05-03,59.01,59.01,58.4874,58.6981,882900
2016-05-04,58.3188,58.8583,58.1923,58.2513,433000
2016-05-05,58.2429,58.6981,58.226,58.4958,1122700
2016-05-06,58.3272,58.5211,58.0996,58.4705,784500
2016-05-09,58.3778,58.6475,58.1417,58.285,410000
2016-05-10,58.5464,58.892,58.2682,58.8836,683400
2016-05-11,58.7656,58.9848,58.656,58.7571,1404000
2016-05-12,59.0459,59.0884,58.1711,58.4514,687300
2016-05-13,58.3155,58.5108,58.1286,58.2645,639400
2016-05-16,57.8568,57.8908,57.1774,57.67,1714000
2016-05-17,57.619,57.9587,57.4152,57.5596,1365100
2016-05-18,57.585,58.2985,57.585,57.9333,825000
2016-05-19,57.7549,57.9673,57.5256,57.653,708800
2016-05-20,58.1286,59.2412,58.0691,59.1053,1020800
2016-05-23,59.1223,59.4536,59.0459,59.2412,868400
2016-05-24,59.4536,60.3709,59.4196,60.2944,944400
2016-05-25,60.3114,60.9569,60.3114,60.9229,709300
2016-05-26,60.8805,61.1438,60.7616,61.0843,457200
2016-05-27,61.0758,62.1205,61.0758,61.9931,601100
2016-05-31,61.8402,62.078,61.6109,61.9421,1157100
2016-06-01,61.8572,62.163,61.6194,62.112,934800
2016-06-02,61.9846,62.5536,61.7892,62.2309,1529800
2016-06-03,62.112,62.18,61.6958,62.0865,654000
2016-06-06,61.9421,62.2649,61.7298,61.7808,749400
2016-06-07,61.7468,62.146,61.7383,61.9676,630900
2016-06-08,62.0695,62.3328,61.8402,62.1545,593400
2016-06-09,62.044,62.3838,61.6788,62.3498,466100
2016-06-10,62.1035,62.1035,61.6279,61.7213,717100
2016-06-13,61.458,61.9846,61.3731,61.5854,786500
2016-06-14,61.526,61.7893,61.2882,61.6873,508100
2016-06-15,62.0525,62.163,61.6788,61.9251,558100
2016-06-16,61.7383,62.0186,61.407,61.8232,594100
2016-06-17,61.8232,62.0271,61.5175,62.0271,1710900
2016-06-20,62.2564,62.8594,62.2394,62.5537,1001200
2016-06-21,62.6386,62.8934,62.5622,62.732,1232800
2016-06-22,62.817,63.2501,62.7235,63.1057,1321000
2016-06-23,63.5983,63.8447,63.3351,63.5729,1637500
2016-06-24,61.9761,63.2416,61.5769,61.6194,1888300
2016-06-27,61.3136,61.3391,60.2859,60.5322,1235600
2016-06-28,60.821,61.3221,60.77,61.1438,2163500
2016-06-29,61.4071,62.1205,60.77,61.2202,1896400
2016-06-30,61.4665,62.2139,61.1692,62.2139,1819600
2016-07-01,62.0016,62.095,61.5514,61.5769,1098700
2016-07-05,61.3476,61.458,60.8805,61.2457,1224000
2016-07-06,61.1183,61.441,60.7361,61.3731,1895400
2016-07-07,61.2881,61.9167,61.2202,61.3561,1893700
2016-07-08,61.5005,62.766,61.441,62.6386,839300
2016-07-11,62.4433,63.3266,62.4433,63.1737,560800
2016-07-12,63.5304,64.0145,63.3775,63.989,578600
2016-07-13,64.1589,64.4562,64.0145,64.1674,543200
2016-07-14,64.5496,64.6345,63.5898,63.8871,1854200
2016-07-15,64.023,64.1929,63.6663,63.8107,1643900
2016-07-18,63.9636,64.4901,63.8531,64.4901,903800
2016-07-19,64.2948,64.7025,64.2184,64.5071,650300
2016-07-20,64.5496,65.314,64.3967,65.1187,586700
2016-07-21,64.9488,64.9828,64.2269,64.3288,473700
2016-07-22,64.3118,64.7195,64.2354,64.6006,445400
2016-07-25,64.6261,64.9658,64.5241,64.9658,344800
2016-07-26,65.2461,65.6198,64.8469,65.3905,553800
2016-07-27,65.3819,65.6707,65.0762,65.3989,491600
2016-07-28,65.7217,66.1209,65.297,65.7811,946100
2016-07-29,65.5688,65.7302,64.091,64.3033,1446300
2016-08-01,64.2269,65.0423,64.1929,65.0423,763200
2016-08-02,64.9233,64.9743,64.057,64.3118,872900
2016-08-03,64.2099,64.6345,64.1759,64.6261,999900
2016-08-04,64.5071,65.2375,64.5071,65.2291,401400
2016-08-05,65.348,65.934,65.2291,65.934,431200
2016-08-08,65.917,65.934,65.4159,65.4159,516900
2016-08-09,65.4839,65.8321,65.1951,65.7472,269900
2016-08-10,64.9318,64.9318,58.6892,59.0034,7369300
2016-08-11,59.7822,60.0389,57.232,57.7712,3423500
2016-08-12,58.1648,58.6355,57.5316,58.4301,2895900
2016-08-15,58.4301,59.4826,58.3274,59.4227,2021300
2016-08-16,59.1404,59.3714,58.9863,59.2088,1218400
2016-08-17,59.1147,59.7736,58.7467,59.5939,1044600
2016-08-18,59.5083,59.7993,59.3885,59.6709,608000
2016-08-19,59.8164,60.8775,59.7907,60.7149,1636300
2016-08-22,60.5866,60.946,60.2015,60.347,1007500
2016-08-23,60.5523,60.8775,57.9423,58.2333,2441800
2016-08-24,58.1905,58.3103,57.3518,57.4802,1322400
2016-08-25,57.5144,57.7369,57.3091,57.5915,1365600
2016-08-26,57.5744,57.8824,57.2406,57.7797,1400800
2016-08-29,58.6868,59.6795,58.4472,58.8152,1967600
2016-08-30,58.935,59.0719,58.2162,58.4986,1128600
2016-08-31,58.2932,59.3201,58.1391,59.2687,2830000
2016-09-01,59.5254,60.5609,59.3372,60.5352,1935000
2016-09-02,60.7577,60.8946,59.8677,60.0731,852400
2016-09-06,60.2956,60.4411,58.9949,60.3641,1178900
2016-09-07,60.5951,60.5951,59.902,60.5866,1460500
2016-09-08,60.4668,60.5267,60.056,60.2956,972600
2016-09-09,60.0646,60.2357,59.2944,59.4142,1687500
2016-09-12,59.0548,60.4668,58.7981,60.4325,1311100
2016-09-13,60.7919,60.8005,58.6183,59.0719,1107500
2016-09-14,59.0377,59.3543,58.6526,58.9607,1011900
2016-09-15,58.8323,60.2528,58.8323,60.1244,2449600
