date,open,high,low,close,volume
2016-04-22,94.4384,94.8086,93.2537,94.7068,1614200
2016-04-25,94.5402,94.9474,94.2996,94.7346,888900
2016-04-26,96.7984,97.1779,95.4379,96.1783,1234700
2016-04-27,96.2154,96.6874,94.9382,95.7989,1026700
2016-04-28,95.0122,95.151,93.5407,93.8183,1329300
2016-04-29,92.9946,93.5591,91.8099,93.374,1613600
2016-05-02,93.8461,94.7068,93.1242,94.5957,1806200
2016-05-03,93.8739,94.3089,93.1982,93.8461,891700
2016-05-04,93.5036,93.7072,92.1802,92.4486,1189700
2016-05-05,92.6892,93.7905,92.5504,92.9206,1063300
2016-05-06,92.1524,93.6887,91.8562,93.5129,883200
2016-05-09,93.809,94.7901,93.6425,94.0959,714800
2016-05-10,94.5864,95.188,93.8831,95.1418,731900
2016-05-11,95.1325,95.8081,94.6142,94.6975,617300
2016-05-12,94.7808,95.3824,93.6702,94.5957,713300
2016-05-13,94.5124,95.4842,94.4014,94.4291,781900
2016-05-16,94.6328,96.7522,94.4847,96.0025,1046700
2016-05-17,95.8081,95.9007,94.2903,94.5402,912300
2016-05-18,94.605,95.4287,94.2255,95.0492,1043100
2016-05-19,94.1885,94.8363,93.2167,93.8646,834400
2016-05-20,94.2996,95.8637,94.0219,95.3546,1169900
2016-05-23,95.9192,97.2149,95.8359,96.8262,2066300
2016-05-24,97.3075,99.4546,97.2612,99.3158,2834900
2016-05-25,95.3546,98.0571,94.2255,97.1964,4732600
2016-05-26,97.1779,99.7138,97.0668,98.8716,2659000
2016-05-27,99.2973,99.8896,98.8808,99.8526,1386300
2016-05-31,99.9544,100.5837,98.0201,98.7142,2598600
2016-06-01,97.9645,99.4546,97.7609,99.214,1304200
2016-06-02,98.9641,100.1858,98.5661,100.0655,1137600
2016-06-03,99.5934,99.7415,98.7697,99.4454,1732600
2016-06-06,99.3621,100.3153,99.1029,100.0747,1548900
2016-06-07,100.232,100.8336,100.1765,100.3709,1282500
2016-06-08,100.593,100.7411,99.3251,99.4269,1436700
2016-06-09,99.1029,99.5657,98.7512,99.5102,1490600
2016-06-10,97.9645,99.177,97.8905,98.5106,1397800
2016-06-13,97.7239,99.0011,97.7239,97.7887,1342800
2016-06-14,97.4555,98.5291,96.9835,98.307,874300
2016-06-15,98.8345,98.9271,98.2237,98.3625,1197900
2016-06-16,97.9553,98.7605,97.4,98.5569,863200
2016-06-17,98.3625,98.5106,96.9187,97.5111,1689300
2016-06-20,98.4088,99.7138,98.1497,99.3528,1397100
2016-06-21,99.612,100.1765,99.1307,99.8619,1817600
2016-06-22,99.7323,99.8526,98.4551,98.5199,1453600
2016-06-23,99.9822,100.8336,99.14,100.8336,1418500
2016-06-24,96.1228,98.5476,95.8822,97.4833,5050300
2016-06-27,96.4745,97.0113,95.3547,96.419,1769400
2016-06-28,97.363,98.1589,96.928,98.0941,1643600
2016-06-29,98.6679,101.2223,98.6679,101.1483,1645800
2016-06-30,101.2224,103.4621,100.9725,103.2955,2191500
2016-07-01,103.4065,104.1006,103.0548,103.5731,1017500
2016-07-05,103.2029,104.6004,102.953,104.3413,1578200
2016-07-06,103.6934,104.8873,103.5361,104.841,1328500
2016-07-07,104.7578,105.748,104.4616,105.7388,1074400
2016-07-08,106.7131,107.6689,105.7666,107.1586,1507500
2016-07-11,107.6874,108.0122,107.0379,107.2977,1535900
2016-07-12,108.0586,108.3092,107.1771,107.9566,1199200
2016-07-13,108.5319,108.5412,107.5576,107.5668,967100
2016-07-14,108.1236,108.4484,107.307,108.003,881500
2016-07-15,108.1793,108.1793,106.212,106.6946,2158400
2016-07-18,106.6111,107.4091,106.2956,106.9451,737400
2016-07-19,106.7781,107.1678,106.3049,106.509,865600
2016-07-20,104.6531,106.9822,104.5974,106.5183,1555100
2016-07-21,106.2306,106.2399,104.5881,105.0336,961400
2016-07-22,105.4047,106.1007,104.848,105.8409,717600
2016-07-25,105.7573,105.8223,105.2841,105.7388,566500
2016-07-26,105.9058,106.3605,105.0428,105.4326,782200
2016-07-27,105.4047,105.4047,103.9386,104.4304,1731100
2016-07-28,104.5325,104.8572,103.3911,103.9664,2383700
2016-07-29,104.1335,104.1335,102.4353,102.9921,3062500
2016-08-01,103.3911,103.7159,102.0734,102.7787,3405600
2016-08-02,102.5559,102.6487,100.8671,101.3496,1816800
2016-08-03,101.0434,101.9435,101.0063,101.9157,1279800
2016-08-04,102.2312,102.6488,101.8043,101.9807,756400
2016-08-05,102.1198,103.8458,102.1198,103.456,900600
2016-08-08,103.7623,104.3376,103.4561,103.9479,1426200
2016-08-09,103.9664,104.6345,103.7623,104.0499,1081600
2016-08-10,104.0499,104.8758,104.0128,104.7273,1284000
2016-08-11,104.7737,105.3862,104.384,104.9964,843000
2016-08-12,104.4582,104.783,103.7901,104.0128,854900
2016-08-15,104.4211,105.8409,103.8272,105.1542,1206000
2016-08-16,104.8851,104.8851,104.3098,104.3654,1040300
2016-08-17,104.6624,104.8572,103.9386,104.616,1148400
2016-08-18,104.4118,105.0057,103.92,104.4304,934300
2016-08-19,104.4768,105.0336,104.0778,104.6717,924500
2016-08-22,104.616,105.2284,104.2263,104.4304,785200
2016-08-23,105.0892,105.7852,104.3933,105.6367,1546300
2016-08-24,100.5702,102.3797,100.2176,101.9342,4420600
2016-08-25,102.027,102.8715,101.6744,102.0734,1553900
2016-08-26,101.8693,103.0385,101.7672,102.3704,1056500
2016-08-29,102.4539,103.1313,102.4539,102.7787,1301900
2016-08-30,102.7323,103.1498,102.1755,103.1406,1503400
2016-08-31,103.1035,103.521,102.6673,103.419,1413600
2016-09-01,103.2612,104.2541,102.8622,104.2448,1339900
2016-09-02,104.7737,104.9593,103.4096,103.9942,987600
2016-09-06,103.8272,103.985,102.4446,103.3447,2091000
2016-09-07,103.4097,103.9015,102.9271,103.9015,1525900
2016-09-08,103.4097,103.9108,102.8436,102.9643,1204200
2016-09-09,101.9992,102.5003,101.3682,101.3775,1705800
2016-09-12,101.0712,101.9992,100.5238,101.6466,1462100
2016-09-13,99.3638,100.4217,98.6772,99.0112,2110300
2016-09-14,99.2618,100.3939,99.0298,100.3196,1960700
2016-09-15,100.3475,102.0456,99.8835,101.8507,1535100
2016-09-16,101.5352,101.5909,100.366,101.1455,3314100
2016-09-19,101.5352,102.0456,101.0991,101.1269,1245000
2016-09-20,101.8414,101.9342,100.8485,101.1176,1087800
2016-09-21,101.628,103.0014,101.0527,102.7972,1352900
2016-09-22,103.1313,103.4561,102.6209,102.7787,1255100
2016-09-23,102.2312,102.5653,101.3868,101.9807,1263400
2016-09-26,101.3218,101.6002,100.7558,101.1269,1238400
