date,open,high,low,close,volume
2016-08-12,120.5361,121.367,119.9764,121.1465,1787900
2016-08-15,121.2144,121.3416,119.968,120.0782,2369600
2016-08-16,119.6797,120.0782,118.9844,119.6203,1688500
2016-08-17,119.7984,120.3241,119.2643,120.1545,1849100
2016-08-18,120.1206,121.1127,119.7815,120.5446,1572700
2016-08-19,120.1037,120.6124,119.7391,120.4343,1950200
2016-08-22,120.4937,121.2483,120.1545,120.4767,1587900
2016-08-23,121.0194,121.1381,120.1884,120.4089,2295500
2016-08-24,120.4004,120.4682,118.2891,118.5944,2529800
2016-08-25,118.4926,118.4926,116.1864,116.4153,3891000
2016-08-26,116.7291,117.2632,115.3046,115.8388,3082400
2016-08-29,116.3306,117.0428,115.7201,116.3899,2315900
2016-08-30,116.3899,116.7461,115.5166,116.0508,2026600
2016-08-31,115.7794,116.0083,114.9315,115.3555,2837300
2016-09-01,116.0084,116.144,114.762,115.0926,2765400
2016-09-02,115.737,115.9744,115.1096,115.8303,2390500
2016-09-06,115.8387,116.0338,114.9993,115.2876,2242400
2016-09-07,114.9937,115.8115,114.3123,114.9852,2816300
2016-09-08,114.5423,115.5219,114.4912,115.3686,2826700
2016-09-09,114.7467,115.1215,113.8183,113.8183,3322300
2016-09-12,113.0431,115.607,112.7705,115.4452,3457400
2016-09-13,114.3464,115.1215,113.6053,114.0994,3331500
2016-09-14,114.0312,114.7297,113.2731,113.8779,4592400
2016-09-15,113.3157,115.9222,113.1879,115.5133,3302900
2016-09-16,115.5134,118.0177,115.4452,117.9495,7421900
2016-09-19,118.1284,118.7332,117.1403,117.2766,3239500
2016-09-20,117.6599,118.0007,116.7485,117.0977,2425700
2016-09-21,117.7195,119.2187,117.5407,119.1761,3506600
2016-09-22,119.6702,120.4538,119.5339,120.1387,3018300
2016-09-23,120.1216,120.769,119.5594,119.6872,2802000
2016-09-26,119.2102,119.3976,118.3158,119.0143,2636500
2016-09-27,119.2443,119.9683,118.1369,119.9257,3048600
2016-09-28,120.2153,120.7094,118.9632,119.602,1990400
2016-09-29,119.4061,119.4913,117.4129,117.8218,2201000
2016-09-30,118.5543,119.6617,117.907,119.2528,4164100
2016-10-03,118.6991,119.0143,117.5747,117.9666,2724400
2016-10-04,118.1369,118.7076,116.8337,117.6855,2452600
2016-10-05,117.7281,118.3414,116.3567,117.2085,4625600
2016-10-06,116.9614,117.1147,115.5559,116.2459,4025300
2016-10-07,116.8763,117.1659,115.8285,116.4078,2568700
2016-10-10,116.6718,117.8473,116.6718,117.6173,2586000
2016-10-11,116.97,117.2851,114.4571,114.7808,3353600
2016-10-12,114.9767,115.607,113.8353,115.0789,4287900
2016-10-13,114.6956,114.6956,113.8098,114.3038,3425700
2016-10-14,114.8064,115.4282,114.0482,114.0738,3452900
2016-10-17,114.1931,114.5082,113.3157,114.2527,3602500
2016-10-18,118.5713,122.6174,117.4384,122.1404,10141900
2016-10-19,122.5067,124.6703,121.6549,122.9752,5796000
2016-10-20,123.0774,124.2614,122.643,123.5715,5203700
2016-10-21,122.8815,123.8866,122.4556,123.827,3331800
2016-10-24,124.3636,124.551,122.6771,123.2478,2930200
2016-10-25,123.4096,123.8355,122.3193,122.4726,3095400
