date,open,high,low,close,volume
2016-04-18,90.4443,92.1024,90.0434,91.984,968200
2016-04-19,92.5944,94.1706,92.2482,93.9702,1296000
2016-04-20,93.706,95.2548,93.624,94.8722,1186200
2016-04-21,94.4986,95.2548,94.1888,94.2982,1164200
2016-04-22,93.5055,94.7537,93.5055,94.1797,828900
2016-04-25,93.7333,94.1433,93.4691,93.9884,898200
2016-04-26,94.9177,97.3321,94.863,97.2683,1963900
2016-04-27,97.3959,98.6168,96.8675,98.3252,1356500
2016-04-28,98.3252,98.3252,98.3252,98.3252,971800
2016-04-29,97.1772,97.815,96.4848,97.3503,1791100
2016-05-02,98.0245,98.1885,95.9837,97.6419,2120400
2016-05-03,93.1957,95.7832,92.9406,95.2093,1398100
2016-05-04,94.7173,95.6921,94.1159,95.0179,956300
2016-05-05,95.1182,96.093,95.109,95.3641,872000
2016-05-06,91.7289,95.2001,88.9683,94.9997,1095100
2016-05-09,94.7537,95.4917,94.371,95.2275,661000
2016-05-10,95.4552,96.3208,95.3641,95.6284,868000
2016-05-11,95.6284,96.6306,95.4279,95.7924,992100
2016-05-12,96.2479,96.8584,95.6011,96.5395,915700
2016-05-13,96.339,97.1135,95.3642,95.5919,773500
2016-05-16,95.4188,97.2137,95.1546,97.0223,756600
2016-05-17,96.9768,97.323,96.1112,96.3026,1051000
2016-05-18,96.3663,97.8788,96.1477,97.5325,1090900
2016-05-19,96.749,97.5508,95.8926,97.3503,871200
2016-05-20,97.979,98.9721,97.733,98.4619,1113400
2016-05-23,98.0154,99.4094,97.8332,99.1634,944200
2016-05-24,99.5564,102.3811,98.9257,102.0703,1347300
2016-05-25,101.924,102.0886,100.6443,101.6955,862300
2016-05-26,101.4579,101.6498,100.7174,100.9094,793600
2016-05-27,101.5492,102.0703,100.9916,101.8966,537400
2016-05-31,102.4268,103.0667,101.4669,102.2074,1285300
2016-06-01,102.2074,102.2074,100.4432,101.2842,966600
2016-06-02,100.7631,101.5035,100.306,100.9642,917400
2016-06-03,100.5711,100.8545,99.1908,100.2238,1104700
2016-06-06,100.6717,101.339,100.4523,100.7905,908200
2016-06-07,100.8545,101.1196,100.1141,100.2055,757200
2016-06-08,100.434,101.0556,99.8673,100.5894,681300
2016-06-09,100.2238,100.7266,99.721,100.5894,742600
2016-06-10,99.6296,99.8307,97.8928,98.2767,751000
2016-06-13,98.2218,99.0263,97.911,98.0207,1019200
2016-06-14,97.9385,98.423,97.2803,97.6825,912600
2016-06-15,97.7739,98.8435,97.5728,97.8836,855700
2016-06-16,97.1797,98.4321,96.3936,98.2584,659700
2016-06-17,98.3133,98.9989,97.2346,97.5729,1097500
2016-06-20,98.88,99.8399,98.0391,98.0939,1388800
2016-06-21,98.4047,98.9714,98.0939,98.5692,783600
2016-06-22,98.7246,98.7246,97.8562,97.9293,1116600
2016-06-23,99.2456,101.147,98.8434,101.1196,1326400
2016-06-24,97.1341,98.2219,94.6751,95.1962,5008800
2016-06-27,94.0992,94.0992,90.6347,90.8449,1788600
2016-06-28,91.8688,92.9108,91.2929,92.8651,1232200
2016-06-29,93.9712,96.9238,92.9291,96.8964,1439600
2016-06-30,96.9238,98.103,95.9091,98.0481,1709600
2016-07-01,97.9111,99.7302,97.9111,98.5967,891700
2016-07-05,97.911,98.5875,96.293,97.0518,958900
2016-07-06,96.1194,97.71,95.7537,97.6094,1155900
2016-07-07,97.518,98.6881,96.549,98.0939,824200
2016-07-08,99.593,99.913,98.9349,99.5199,1221000
2016-07-11,100.2238,101.3847,100.0135,100.7905,1135700
2016-07-12,101.9057,103.5603,101.4212,103.2769,1247900
2016-07-13,103.9259,104.1271,102.5822,104.0813,781700
2016-07-14,105.1234,105.4799,104.255,105.3063,827100
2016-07-15,105.8547,106.2752,105.0138,105.7085,1466000
2016-07-18,106.0375,106.9151,106.0375,106.8237,743700
2016-07-19,106.1564,106.6409,105.6536,106.5678,818600
2016-07-20,107.3173,107.5733,106.7323,107.0522,876000
2016-07-21,106.8145,107.4727,106.3209,106.7963,888000
2016-07-22,106.8786,107.2625,103.3501,107.2351,703600
2016-07-25,107.1893,107.4362,106.3666,107.0979,599700
2016-07-26,106.586,107.5184,106.2204,107.4544,786700
2016-07-27,107.9846,107.9846,106.522,107.3356,843600
2016-07-28,107.8658,111.7325,107.4179,110.9738,1622700
2016-07-29,110.9464,112.1713,110.9281,111.7051,1305700
2016-08-01,111.7142,112.2078,110.4344,110.8092,727400
2016-08-02,110.5807,110.6539,108.917,109.7946,1030300
2016-08-03,109.7123,110.1602,109.237,110.1602,755300
2016-08-04,109.7398,110.4253,109.2004,109.3467,434100
2016-08-05,110.4253,111.0378,110.0688,110.5167,908100
2016-08-08,110.4162,110.6081,109.6209,109.8403,677100
2016-08-09,110.0963,110.5624,109.8312,110.2242,582000
2016-08-10,110.2608,110.5899,109.0907,109.5386,600600
2016-08-11,109.8037,110.3248,109.5203,110.0688,741800
2016-08-12,109.8769,110.4528,109.4015,109.6118,540400
2016-08-15,110.0231,110.2425,108.981,109.9317,863400
2016-08-16,109.8037,109.9226,109.3192,109.3649,674500
2016-08-17,109.8768,110.1054,108.8622,109.7854,828100
2016-08-18,109.9683,109.9866,108.8073,109.7215,680300
2016-08-19,109.3192,110.3796,108.7799,109.9683,782600
2016-08-22,109.9591,110.2699,109.5386,109.9683,379600
2016-08-23,110.6082,111.4949,110.2882,110.855,817900
2016-08-24,110.8458,111.6434,110.6074,110.8825,696900
2016-08-25,110.5707,111.2675,110.5707,111.02,488300
2016-08-26,111.4784,112.3586,110.9283,111.4601,1266100
2016-08-29,111.6526,112.6336,111.4876,112.4044,1080700
2016-08-30,112.4961,112.7436,111.9552,112.7436,785100
2016-08-31,112.6428,114.1922,112.2119,113.2662,1324200
2016-09-01,113.2479,114.0639,112.4411,113.633,811500
2016-09-02,114.2014,115.1091,114.0639,114.9991,706800
2016-09-06,115.1733,115.5217,114.3481,115.3291,1021600
2016-09-07,115.1824,115.43,114.5406,115.2374,792100
2016-09-08,115.0816,115.9984,115.0266,115.2741,774900
2016-09-09,114.559,115.0999,112.056,112.056,1002400
2016-09-12,111.2034,114.1006,110.8916,113.908,974300
2016-09-13,112.8445,113.1837,111.4051,111.9643,935200
2016-09-14,111.8268,112.6886,111.0291,111.4142,757600
2016-09-15,111.2859,114.3665,111.2859,113.7888,879400
2016-09-16,113.2387,113.578,112.1019,113.0187,1145300
2016-09-19,113.4221,115.2466,113.4221,114.3115,950300
2016-09-20,115.1091,115.485,114.3573,114.4031,877200
2016-09-21,115.2466,117.1261,114.999,116.9519,964400
2016-09-22,117.2637,117.7221,116.0351,116.2827,1155100
2016-09-23,115.8792,116.2735,114.5865,114.5865,927900
2016-09-26,113.743,115.4483,113.4313,114.5406,995400
2016-09-27,114.2748,116.7961,113.7155,116.3101,998500
2016-09-28,116.4477,117.1169,115.2374,116.9519,1024400
2016-09-29,116.9336,117.0253,114.1281,114.6232,1059700
2016-09-30,115.6042,116.6769,115.4391,116.0351,1476000
2016-10-03,115.5767,116.0076,114.1648,114.5682,1355100
2016-10-04,115.7234,116.4568,112.9545,113.8714,1274400
2016-10-05,113.5596,114.8249,113.5596,113.8255,1009900
2016-10-06,113.688,114.8982,112.5786,114.6415,833600
2016-10-07,114.6507,114.6507,113.1654,113.5596,754200
2016-10-10,114.6048,114.9807,114.1189,114.2839,438100
2016-10-11,114.1739,114.1739,111.8543,112.5419,631100
2016-10-12,112.3677,113.4863,111.6618,113.1104,605400
2016-10-13,112.1385,112.9637,111.1667,112.4686,814000
2016-10-14,113.688,114.2839,112.5786,112.9087,958000
2016-10-17,112.8995,113.3029,112.3127,112.3586,682200
2016-10-18,113.688,113.743,112.3036,112.6703,804100
2016-10-19,113.0554,113.2387,112.1752,112.4777,858900
2016-10-20,112.3311,112.9453,111.8176,111.9643,948600
2016-10-21,111.075,113.7338,110.8916,113.6788,1568700
2016-10-24,114.6598,115.2191,114.0914,114.2748,1243000
2016-10-25,114.0639,114.6874,113.8347,113.9172,927400
2016-10-26,113.1287,113.8072,112.3952,113.0645,905600
2016-10-27,113.7797,114.2472,112.2669,112.6428,1134800
2016-10-28,113.0554,113.4588,111.7076,112.111,735900
2016-10-31,112.5878,113.2021,111.4692,111.7168,1854200
2016-11-01,112.0652,112.3403,110.5066,110.8733,1205400
2016-11-02,110.7541,110.7633,109.5255,109.5255,1459200
2016-11-03,109.5164,112.4961,109.4155,112.3127,2374800
2016-11-04,112.2944,113.3304,111.781,112.3952,1511400
2016-11-07,114.4856,116.1634,114.1922,115.0266,1273800
2016-11-08,115.0907,117.0253,114.3206,115.9067,1216900
2016-11-09,114.834,116.8969,113.2571,115.1824,2097400
2016-11-10,115.4666,117.0619,113.8438,115.8242,1403300
2016-11-11,115.2649,116.0442,114.3664,115.0266,1526800
2016-11-14,115.9067,116.1726,112.9545,113.4313,1597500
2016-11-15,113.1654,113.2296,110.8091,111.7901,2027900
2016-11-16,111.3776,112.9179,110.9742,112.1844,1091400
2016-11-17,112.2669,113.798,112.2119,113.6605,1142400
2016-11-18,113.3854,113.5046,111.5151,111.6709,1525200
2016-11-21,111.836,112.7712,111.1575,111.6068,1488700
2016-11-22,111.6068,113.092,110.6624,110.7633,2106600
2016-11-23,110.3862,111.3977,109.8713,110.5425,2612200
2016-11-25,110.7449,111.1035,109.577,110.2759,1398100
2016-11-28,109.6874,110.0092,108.823,108.8782,2331700
2016-11-29,108.6391,110.3311,108.6299,109.9908,1696300
2016-11-30,110.4506,111.2047,109.0253,109.4207,1956300
2016-12-01,109.7977,110.046,106.2389,106.9102,3641200
2016-12-02,106.9562,107.5907,105.5677,106.3861,2262300
2016-12-05,106.9378,107.324,104.9699,105.0895,2535200
2016-12-06,105.4941,105.6044,103.6089,104.4366,2859800
2016-12-07,104.7216,105.3653,103.5262,105.1446,2070800
2016-12-08,105.2274,106.1562,104.832,105.0343,1653700
2016-12-09,105.0251,106.193,104.4274,105.7516,1793500
2016-12-12,105.7515,105.7515,103.986,104.3722,1229300
2016-12-13,104.786,108.0229,104.2894,107.3056,2242500
